window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy,source_file
49,50.9961668989995,51.99417415799963,0,normal,1.059122209306473,0.0052225313570187755,1.059135085378631,1.0441954127461008,1.072705616653516,0.02851020390741521,1.0589056615204206,-0.10985351372933527,23.0,0.013586558584168597,normal_20260725_185107.csv
50,52.994176139000054,53.992228764999716,0,normal,1.0689742931576889,0.004078814536023892,1.0689820747608445,1.058797926896346,1.0777415552905063,0.018943628394160195,1.0689059761736788,-0.4384167327823256,30.0,0.008294808407288653,normal_20260725_185257.csv
51,53.994228178999954,54.99222767500033,0,normal,1.0693279133130726,0.004604661714940781,1.069337827396001,1.0608143381383943,1.0815101525182276,0.020695814379833255,1.0684149474806124,-0.30796558628661863,8.0,0.010563322330061015,normal_20260725_185257.csv
52,54.994227662999954,55.992229419000076,0,normal,1.06912161456882,0.004973956348803217,1.069133184865197,1.0549409888709416,1.0858401263537831,0.030899137482841565,1.0689700089338334,1.1455923658903515,26.0,0.012321060682468259,normal_20260725_185257.csv
53,55.99422899899947,56.99222840600033,0,normal,1.06928918637155,0.004746559687623728,1.0692997212755644,1.0568568256864312,1.0797578061769222,0.02290098049049094,1.0696954239408525,-0.18952159184805373,25.0,0.011221652842995025,normal_20260725_185257.csv
54,56.99422820699966,57.99222802100031,0,normal,1.0702821936588294,0.004429852914499356,1.0702913611068716,1.0573172608068024,1.0791448697927448,0.02182760898594238,1.0706334666915656,-0.19975432065864185,2.0,0.009772942493468722,normal_20260725_185257.csv
55,57.99422793600025,58.992228379999695,0,normal,1.069655492907527,0.004357661386017743,1.0696643691925052,1.0617029245509308,1.0804689398589855,0.018766015308054662,1.0695781043178223,-0.7190679173606078,27.0,0.009458363884547355,normal_20260725_185257.csv
56,58.9942282029997,59.99222817899955,0,normal,1.0689815754402752,0.004318598062659752,1.068990298796018,1.0584602873986344,1.0833930450210578,0.024932757622423418,1.0688419434135243,0.3220515879283705,10.0,0.009288010435344917,normal_20260725_185257.csv
57,59.99422787200002,60.992228602000075,0,normal,1.0699576141522567,0.004884550911852649,1.0699687635253656,1.0605562219891975,1.0823536436858334,0.0217974216966359,1.0696954239408525,-0.45976641713527044,23.0,0.011882133791959452,normal_20260725_185257.csv
58,60.99422688799951,61.992231796999484,0,normal,1.0696042331061513,0.0048555701418303504,1.069615254210597,1.057533020761054,1.0809826363082804,0.023449615547226355,1.0696954239408525,-0.510844730269151,14.0,0.011742595956091785,normal_20260725_185257.csv
59,61.99423284299974,62.99222726500012,0,normal,1.0688010359436657,0.004652645026973581,1.0688111627130397,1.057540212001416,1.079659196228143,0.02211898422672709,1.0687280945123503,-0.4603678075053641,2.0,0.010780984796041494,normal_20260725_185257.csv
60,62.99422692200006,63.99222952400033,0,normal,1.069906392307812,0.004806543340296619,1.0699171889263204,1.057993161603609,1.0826206122183335,0.0246274506147246,1.0696954239408525,-0.21724971270978433,19.0,0.011505864825533802,normal_20260725_185257.csv
61,63.994227514000166,64.99223049899956,0,normal,1.0691343907828885,0.004340173418452041,1.0691432002589736,1.058941570626066,1.0802436808424292,0.02130211021636308,1.0696385464258475,-0.29157366060333034,15.0,0.009381209145917899,normal_20260725_185257.csv
62,64.9942338410001,65.99222907900004,0,normal,1.069143623108611,0.004340323281953526,1.0691524331169993,1.0584602873986344,1.0793562664847969,0.020895979086162475,1.0696954239408525,-0.6450433608452446,22.0,0.009394404729927303,normal_20260725_185257.csv
63,65.99422832900018,66.99223063499994,0,normal,1.0691276569356105,0.004701288692609732,1.069137993404032,1.0565617539926382,1.0797578061769222,0.023196052184284,1.0692047558816786,0.16338429828720358,13.0,0.01100757457748647,normal_20260725_185257.csv
64,66.99422879200029,67.99223394299952,0,normal,1.0686128522170588,0.0046671250810578525,1.0686230439121178,1.0565617539926382,1.0791237278458852,0.022561973853246986,1.0682654585822755,-0.3093397411299219,15.0,0.010852820615503158,normal_20260725_185257.csv
65,67.99423202599974,68.9922286889996,0,normal,1.0691473355221544,0.005151316907110601,1.069159745370167,1.053050554342003,1.0823255379043772,0.029274983562374235,1.0702000794244038,0.25303629173579134,6.0,0.01321655858934189,normal_20260725_185257.csv
66,68.99422829099967,69.99224161199982,0,normal,1.068766343278182,0.004549509400261234,1.0687760263778374,1.0588697511970016,1.0807434108057286,0.021873659608727003,1.06910517256255,-0.38215141217237036,20.0,0.010309858388068492,normal_20260725_185257.csv
