monotonic_ns,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
94715430626464,9.981901414984844,241139712,240386048
94715530795705,0.0,241139712,240386048
94715630958223,0.0,241139712,240386048
94715731153667,0.0,241139712,240386048
94715831363334,0.0,241139712,240386048
94715931591741,0.0,241139712,240386048
94716031756593,0.0,241139712,240386048
94716131941222,0.0,241139712,240386048
94716232151204,0.0,241139712,240386048
94716332314370,0.0,241139712,240386048
94716432515944,0.0,241139712,240386048
94716532753278,0.0,241139712,240386048
94716632944501,9.980869866731908,241139712,240386048
94716733148465,0.0,241139712,240386048
94716833346336,0.0,241139712,240386048
94716933526929,0.0,241139712,240386048
94717033718430,0.0,241139712,240386048
94717133911838,0.0,241139712,240386048
94717234099061,0.0,241139712,240386048
94717334305358,0.0,241139712,240386048
94717434498525,0.0,241139712,240386048
94717534681008,0.0,241139712,240386048
94717634886232,0.0,241139712,240386048
94717735089900,0.0,241139712,240386048
94717835284087,9.980606086118607,241139712,240386048
94717935488403,0.0,241139712,240386048
94718035676108,0.0,241139712,240386048
94718135871202,0.0,241139712,240386048
94718236083296,0.0,241139712,240386048
94718336275020,0.0,241139712,240386048
94718436481633,0.0,241139712,240386048
94718536646320,0.0,241139712,240386048
94718636836063,0.0,241139712,240386048
94718737073121,0.0,241139712,240386048
94718837248104,0.0,241139712,240386048
94718937439718,0.0,241139712,240386048
94719037641035,9.979958546297322,241139712,240386048
94719137827407,0.0,241139712,240386048
94719238021836,0.0,241139712,240386048
94719338233819,0.0,241139712,240386048
94719438422970,0.0,241139712,240386048
94719538620325,0.0,241139712,240386048
94719638828865,0.0,241139712,240386048
94719739042553,0.0,241139712,240386048
94719839260834,0.0,241139712,240386048
94719939451041,0.0,241139712,240386048
94720039644748,0.0,241139712,240386048
94720139871140,0.0,241139712,240386048
94720240060347,9.98110028772041,241139712,240386048
94720340256609,0.0,241139712,240386048
94720440475686,0.0,241139712,240386048
94720540638356,0.0,241139712,240386048
94720640820045,0.0,241139712,240386048
94720741040327,0.0,241139712,240386048
94720841277998,0.0,241139712,240386048
94720941471298,0.0,241139712,240386048
94721041678543,0.0,241139712,240386048
94721141895047,0.0,241139712,240386048
94721242118106,0.0,241139712,240386048
94721342305555,9.981232985975238,241139712,240386048
94721442520244,0.0,241139712,240386048
94721542738508,0.0,241139712,240386048
94721642945087,0.0,241139712,240386048
94721743158351,0.0,241139712,240386048
94721843368763,0.0,241139712,240386048
94721943566693,0.0,241139712,240386048
94722043761827,0.0,241139712,240386048
94722143981129,0.0,241139712,240386048
94722244200670,0.0,241139712,240386048
