window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
622,15602842225664,15602858594855,15603019873729,161.278874,177.648065,0
623,15603459534537,15603475108839,15603599694718,124.585879,140.160181,0
624,15604076632373,15604092356823,15604258359791,166.002968,181.727418,0
625,15604695080635,15604713802901,15604834040852,120.237951,138.960217,0
626,15605313811898,15605329338366,15605476062457,146.724091,162.250559,0
627,15605930375734,15605946839573,15606107632799,160.793226,177.257065,0
628,15606548017478,15606563544928,15606712792575,149.247647,164.775097,0
629,15607166134130,15607182552155,15607348674734,166.122579,182.540604,0
630,15607785031301,15607800520770,15607926072853,125.552083,141.041552,0
631,15608402985454,15608418881219,15608554646250,135.765031,151.660796,0
632,15609020670014,15609043621948,15609226958663,183.336715,206.288649,0
633,15609637993166,15609655187710,15609820648622,165.460912,182.655456,0
634,15610255428838,15610270892640,15610417148730,146.25609,161.719892,0
635,15610873927454,15610889713830,15611016458581,126.744751,142.531127,0
636,15611491568015,15611507387169,15611666660042,159.272873,175.092027,0
637,15612110672836,15612126299175,15612277136508,150.837333,166.463672,0
638,15612726824156,15612742662421,15612862248872,119.586451,135.424716,0
639,15613344795680,15613360118686,15613521255023,161.136337,176.459343,0
640,15613964393817,15613979959082,15614092805401,112.846319,128.411584,0
641,15614581147730,15614604084461,15614792382179,188.297718,211.234449,0
642,15615198692440,15615214493168,15615379296878,164.80371,180.604438,0
643,15615817143577,15615832754583,15615996729366,163.974783,179.585789,0
644,15616434881695,15616450739553,15616581351694,130.612141,146.469999,0
645,15617052352758,15617071336432,15617205675037,134.338605,153.322279,0
646,15617671809914,15617690091365,15617840599366,150.508001,168.789452,0
647,15618289563588,15618306058058,15618429184215,123.126157,139.620627,0
648,15618906317096,15618921747102,15619064372655,142.625553,158.055559,0
649,15619524495438,15619540823722,15619699318114,158.494392,174.822676,0
650,15620143228002,15620161415398,15620305685859,144.270461,162.457857,0
651,15620759860195,15620775584553,15620888991706,113.407153,129.131511,0
652,15621379196667,15621394923377,15621533205836,138.282459,154.009169,0
653,15621995481491,15622011257219,15622167690463,156.433244,172.208972,0
654,15622613388315,15622629046987,15622765071742,136.024755,151.683427,0
655,15623232745751,15623248921905,15623393842311,144.920406,161.09656,0
656,15623850200853,15623866194822,15624024642085,158.447263,174.441232,0
657,15624467716770,15624484109647,15624604837914,120.728267,137.121144,0
658,15625084944613,15625101082267,15625271821461,170.739194,186.876848,0
659,15625702951198,15625719540871,15625858107312,138.566441,155.156114,0
660,15626321208282,15626336952159,15626497431941,160.479782,176.223659,0
661,15626940007923,15626956988744,15627074197733,117.208989,134.18981,0
662,15627557445823,15627572950514,15627711916844,138.96633,154.471021,0
663,15628175288130,15628191286914,15628345438380,154.151466,170.15025,0
664,15628793756068,15628810073796,15628932483805,122.410009,138.727737,0
665,15629411035153,15629426614307,15629564674804,138.060497,153.639651,0
666,15630029805313,15630045742301,15630199581711,153.83941,169.776398,0
667,15630647252659,15630672322668,15630845494715,173.172047,198.242056,0
668,15631264762059,15631281597344,15631441034423,159.437079,176.272364,0
669,15631882714516,15631898438189,15632040959262,142.521073,158.244746,0
670,15632500628085,15632516052424,15632630113801,114.061377,129.485716,0
671,15633119113912,15633134969863,15633283163771,148.193908,164.049859,0
672,15633737215759,15633752769154,15633970170663,217.401509,232.954904,0
673,15634355136254,15634370897204,15634515851389,144.954185,160.715135,0
