iteration,source_window,processing_latency_ms
851,383,0.057333
852,384,0.057593
853,385,0.057389
854,386,0.057149
855,387,0.057056
856,388,0.056981
857,389,0.057759
858,390,0.056759
859,391,0.056778
860,392,0.056797
861,393,0.057315
862,394,0.057297
863,395,0.057444
864,396,0.057315
865,397,0.05737
866,398,0.057815
867,399,0.057907
868,400,0.05787
869,401,0.057314
870,402,0.057111
871,403,0.057352
872,404,0.057074
873,405,0.083907
874,406,0.066315
875,407,0.059148
876,408,0.058389
877,409,0.057666
878,410,0.057667
879,411,0.05774
880,412,0.057574
881,413,0.065834
882,414,0.068204
883,415,0.061
884,416,0.058925
885,417,0.058722
886,418,0.057444
887,419,0.057889
888,420,0.056944
889,421,0.05763
890,422,0.057537
891,423,0.058556
892,424,0.057741
893,425,0.057889
894,426,0.057741
895,427,0.057759
896,428,0.057685
897,429,0.057389
898,430,0.057612
899,431,0.057612
900,432,0.057259
901,433,0.057538
902,434,0.057445
903,435,0.057389
904,436,0.057148
905,437,0.057351
906,438,0.057241
907,439,0.057315
908,440,0.057574
909,441,0.057556
910,442,0.057148
911,443,0.057481
912,444,0.057704
913,445,0.057537
914,446,0.057111
915,447,0.057019
916,448,0.057407
917,449,0.056889
918,450,0.057296
919,451,0.057926
920,452,0.05674
921,453,0.057129
922,454,0.057166
923,455,0.057408
924,456,0.057055
925,457,0.057371
926,458,0.057167
927,459,0.057352
928,460,0.057055
929,461,0.057204
930,462,0.056852
931,463,0.057648
932,464,0.056852
933,465,0.057259
934,466,0.056889
935,467,0.056907
936,0,0.058259
937,1,0.058092
938,2,0.057203
939,3,0.057315
940,4,0.057111
941,5,0.057703
942,6,0.057463
943,7,0.057518
944,8,0.057148
945,9,0.058185
946,10,0.057222
947,11,0.066407
948,12,0.059074
949,13,0.057815
950,14,0.057797
951,15,0.057777
952,16,0.057445
953,17,0.05737
954,18,0.057445
955,19,0.057259
956,20,0.083426
957,21,0.066093
958,22,0.059241
959,23,0.058685
960,24,0.058241
961,25,0.05876
962,26,0.057482
963,27,0.057574
964,28,0.057593
965,29,0.05774
966,30,0.057574
967,31,0.057555
968,32,0.057
969,33,0.057185
970,34,0.05713
971,35,0.057667
972,36,0.05737
973,37,0.057648
974,38,0.057389
975,39,0.057223
976,40,0.057074
977,41,0.058222
978,42,0.057333
979,43,0.057111
980,44,0.057019
981,45,0.056666
982,46,0.056871
983,47,0.056593
984,48,0.057037
985,49,0.056963
986,50,0.057203
987,51,0.056889
988,52,0.057186
989,53,0.056945
