window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
68,45960,46088,100498196983246,100498809797783,222.030139596,222.642954133,True,[],rms,1.2747695377144315,1.0157529940730636,0,NORMAL,,29889,0,0,1074,67630,42908,100498813566707,114445,100498813452262,3768924,3604146,50333,100498813572540,sensor_live_rms_01,sensor_live,1
69,46088,46216,100498815185595,100499428158336,222.648341945,223.261314686,True,[],rms,1.2747695377144315,0.9824582714013917,0,NORMAL,,31574,0,0,1055,71649,44611,100499432330926,120315,100499432210611,4172590,4006516,45759,100499432337093,sensor_live_rms_01,sensor_live,1
70,46216,46344,100499433941963,100500046798130,223.267098313,223.87995448,True,[],rms,1.2747695377144315,1.0058894127189681,0,NORMAL,,28352,0,0,1018,65444,40963,100500050593999,109889,100500050484110,3795869,3634887,51093,100500050599832,sensor_live_rms_01,sensor_live,1
71,46344,46472,100500052219257,100500665115388,223.885375607,224.498271738,True,[],rms,1.2747695377144315,1.0558001586881305,0,NORMAL,,29630,0,0,1055,63686,42018,100500668904330,109463,100500668794867,3788942,3628313,51166,100500668909627,sensor_live_rms_01,sensor_live,1
72,46472,46600,100500670528330,100501283405035,224.50368468,225.116561385,True,[],rms,1.2747695377144315,0.9980279210874711,0,NORMAL,,32519,0,0,1314,75278,45889,100501287599274,125371,100501287473903,4194239,4012961,55907,100501287605162,sensor_live_rms_01,sensor_live,1
73,46600,46728,100501289186477,100501900262257,225.122342827,225.733418607,True,[],rms,1.2747695377144315,0.9743450065558944,0,NORMAL,,30407,0,0,1074,80481,44148,100501904094811,128685,100501903966126,3832554,3655628,48241,100501904100755,sensor_live_rms_01,sensor_live,1
74,46728,46856,100501905696662,100502519344831,225.738853012,226.352501181,True,[],rms,1.2747695377144315,1.0560735744305567,0,NORMAL,,41388,0,0,1705,94241,59981,100502524927513,159333,100502524768180,5582682,5354960,68389,100502524935810,sensor_live_rms_01,sensor_live,1
75,46856,46984,100502526518642,100503137645942,226.359674992,226.970802292,True,[],rms,1.2747695377144315,1.0536008674333917,0,NORMAL,,40333,0,0,1426,94000,58907,100503143204458,158074,100503143046384,5558516,5331405,69037,100503143212569,sensor_live_rms_01,sensor_live,1
76,46984,47112,100503144797994,100503755820850,226.977954344,227.5889772,True,[],rms,1.2747695377144315,1.079967293884938,0,NORMAL,,41703,0,0,1686,92981,60426,100503761443033,158574,100503761284459,5622183,5394109,69500,100503761451237,sensor_live_rms_01,sensor_live,1
77,47112,47240,100503763035217,100504372266352,227.596191567,228.205422702,True,[],rms,1.2747695377144315,1.0579027215501242,0,NORMAL,,42019,0,0,1314,96537,58777,100504378014553,160518,100504377854035,5748201,5517924,69759,100504378021979,sensor_live_rms_01,sensor_live,1
78,47240,47368,100504379588868,100504991596891,228.212745218,228.824753241,True,[],rms,1.2747695377144315,1.0420799472780855,0,NORMAL,,40907,0,0,1575,93537,58426,100504997218333,156982,100504997061351,5621442,5398590,65870,100504997226129,sensor_live_rms_01,sensor_live,1
79,47368,47496,100504998802850,100505609546634,228.8319592,229.442702984,True,[],rms,1.2747695377144315,1.060256454211982,0,NORMAL,,40852,0,0,1351,93685,58852,100505615162279,157555,100505615004724,5615645,5389053,69037,100505615170224,sensor_live_rms_01,sensor_live,1
80,47496,47624,100505616757278,100506227872358,229.449913628,230.061028708,True,[],rms,1.2747695377144315,1.0269663984112518,0,NORMAL,,41019,0,0,1611,95166,58759,100506233491041,159259,100506233331782,5618683,5390887,68537,100506233498745,sensor_live_rms_01,sensor_live,1
81,47624,47752,100506235082966,100506844155418,230.068239316,230.677311768,True,[],rms,1.2747695377144315,1.0215150216220183,0,NORMAL,,38944,0,0,1389,93574,56815,100506849729656,155092,100506849574564,5574238,5348757,70389,100506849737341,sensor_live_rms_01,sensor_live,1
82,47752,47880,100506851323359,100507462077662,230.684479709,231.295234012,True,[],rms,1.2747695377144315,1.036365113960342,0,NORMAL,,38556,0,0,1333,93278,56685,100507467691437,154944,100507467536493,5613775,5387220,71611,100507467699474,sensor_live_rms_01,sensor_live,1
83,47880,48008,100507469289640,100508081705443,231.30244599,231.914861793,True,[],rms,1.2747695377144315,1.0325893249931806,0,NORMAL,,41741,0,0,1240,93388,58703,100508087355644,156777,100508087198867,5650201,5428442,64982,100508087363292,sensor_live_rms_01,sensor_live,1
84,48008,48136,100508088949588,100508699576559,231.922105938,232.532732909,True,[],rms,1.2747695377144315,1.0474776926723628,0,NORMAL,,42926,0,0,1574,101315,61833,100508705349093,168722,100508705180371,5772534,5505701,98111,100508705356889,sensor_live_rms_01,sensor_live,1
85,48136,48264,100508706905129,100509317962730,232.540061479,233.15111908,True,[],rms,1.2747695377144315,1.0297227126243633,0,NORMAL,,42388,0,0,1464,101574,61648,100509323735561,169037,100509323566524,5772831,5521479,82315,100509323744172,sensor_live_rms_01,sensor_live,1
86,48264,48392,100509325332782,100509934382477,233.158489132,233.767538827,True,[],rms,1.2747695377144315,1.048908383842766,0,NORMAL,,40944,0,0,1463,96796,59759,100509939951511,161796,100509939789715,5569034,5337923,69315,100509939959548,sensor_live_rms_01,sensor_live,1
87,48392,48520,100509941539307,100510552801371,233.774695657,234.385957721,True,[],rms,1.2747695377144315,1.0979403654615338,0,NORMAL,,40574,0,0,1388,95000,59333,100510558390535,159648,100510558230887,5589164,5361905,67611,100510558398684,sensor_live_rms_01,sensor_live,1
88,48520,48648,100510559980609,100511171319692,234.393136959,235.004476042,True,[],rms,1.2747695377144315,1.0232372658006292,0,NORMAL,,40889,0,0,1407,94500,58945,100511176939449,159204,100511176780245,5619757,5392646,67907,100511176947838,sensor_live_rms_01,sensor_live,1
89,48648,48776,100511178530726,100511789600810,235.011687076,235.62275716,True,[],rms,1.2747695377144315,1.0417677997320802,0,NORMAL,,41297,0,0,1481,94425,59222,100511795197881,158703,100511795039178,5597071,5370608,67760,100511795206418,sensor_live_rms_01,sensor_live,1
90,48776,48904,100511796788640,100512407661113,235.62994499,236.240817463,True,[],rms,1.2747695377144315,1.0778378950432819,0,NORMAL,,41666,0,0,1667,95130,59481,100512413328851,160167,100512413168684,5667738,5408238,99333,100512413336684,sensor_live_rms_01,sensor_live,1
91,48904,49032,100512414879480,100513025971269,236.24803583,236.859127619,True,[],rms,1.2747695377144315,1.0813021276541201,0,NORMAL,,39741,0,0,1407,93963,57907,100513031583210,157185,100513031426025,5611941,5386571,68185,100513031591155,sensor_live_rms_01,sensor_live,1
92,49032,49160,100513033181376,100513644119999,236.866337726,237.477276349,True,[],rms,1.2747695377144315,1.1110277020181818,0,NORMAL,,39018,0,0,1630,93945,56685,100513649708218,156037,100513649552181,5588219,5364812,67370,100513649716070,sensor_live_rms_01,sensor_live,1
93,49160,49288,100513651303180,100514262323266,237.48445953,238.095479616,True,[],rms,1.2747695377144315,1.0447399048692014,0,NORMAL,,39389,0,0,1648,94463,56907,100514267876004,156648,100514267719356,5552738,5322627,73463,100514267883300,sensor_live_rms_01,sensor_live,1
94,49288,49416,100514269468300,100514878725146,238.10262465,238.711881496,True,[],rms,1.2747695377144315,1.0265281455675221,0,NORMAL,,40500,0,0,1407,94000,58685,100514884367143,158296,100514884208847,5641997,5412553,71148,100514884375254,sensor_live_rms_01,sensor_live,1
95,49416,49544,100514885959902,100515497052914,238.719116252,239.330209264,True,[],rms,1.2747695377144315,1.048991897812177,0,NORMAL,,38722,0,0,1667,94055,56796,100515502624282,156185,100515502468097,5571368,5338868,76315,100515502631893,sensor_live_rms_01,sensor_live,1
