monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,elapsed_s,trial,mode,method,repeat
100295079065223,0,0.0,77234176,77398016,18.912221573,sensor_live_rms_01,sensor_live,rms,1
100295179296719,0,9.976929647542047,77234176,77398016,19.012453069,sensor_live_rms_01,sensor_live,rms,1
100295279509531,0,0.0,77234176,77398016,19.112665881,sensor_live_rms_01,sensor_live,rms,1
100295379723323,0,9.978699566798307,77234176,77398016,19.212879673,sensor_live_rms_01,sensor_live,rms,1
100295479914246,0,0.0,77234176,77398016,19.313070596,sensor_live_rms_01,sensor_live,rms,1
100295580097372,0,0.0,77234176,77398016,19.413253722,sensor_live_rms_01,sensor_live,rms,1
100295680264479,0,9.983302328439825,77234176,77398016,19.513420829,sensor_live_rms_01,sensor_live,rms,1
100295780444624,0,9.982019787135123,77234176,77398016,19.613600974,sensor_live_rms_01,sensor_live,rms,1
100295880609047,0,0.0,77234176,77398016,19.713765397,sensor_live_rms_01,sensor_live,rms,1
100295980957173,0,0.0,77234176,77398016,19.814113523,sensor_live_rms_01,sensor_live,rms,1
100296081283539,0,0.0,77234176,77398016,19.914439889,sensor_live_rms_01,sensor_live,rms,1
100296181547814,0,9.973656879050809,77234176,77398016,20.014704164,sensor_live_rms_01,sensor_live,rms,1
100296281806421,0,9.974231771667405,77234176,77398016,20.114962771,sensor_live_rms_01,sensor_live,rms,1
100296382015955,0,0.0,77234176,77398016,20.215172305,sensor_live_rms_01,sensor_live,rms,1
100296482186322,0,9.983025561258154,77234176,77398016,20.315342672,sensor_live_rms_01,sensor_live,rms,1
100296582362374,0,0.0,77234176,77398016,20.415518724,sensor_live_rms_01,sensor_live,rms,1
100296682543519,0,0.0,77234176,77398016,20.515699869,sensor_live_rms_01,sensor_live,rms,1
100296782779423,0,9.97652961522565,77234176,77398016,20.615935773,sensor_live_rms_01,sensor_live,rms,1
100296883035697,0,0.0,77234176,77398016,20.716192047,sensor_live_rms_01,sensor_live,rms,1
100296983233064,0,9.980385150198687,77234176,77398016,20.816389414,sensor_live_rms_01,sensor_live,rms,1
100297083407783,0,0.0,77234176,77398016,20.916564133,sensor_live_rms_01,sensor_live,rms,1
100297183590910,0,0.0,77234176,77398016,21.01674726,sensor_live_rms_01,sensor_live,rms,1
100297283779091,0,0.0,77234176,77398016,21.116935441,sensor_live_rms_01,sensor_live,rms,1
100297384051107,0,9.973004870957894,77234176,77398016,21.217207457,sensor_live_rms_01,sensor_live,rms,1
100297484216326,0,9.983485018996063,77234176,77398016,21.317372676,sensor_live_rms_01,sensor_live,rms,1
100297584404915,0,0.0,77234176,77398016,21.417561265,sensor_live_rms_01,sensor_live,rms,1
100297684572005,0,0.0,77234176,77398016,21.517728355,sensor_live_rms_01,sensor_live,rms,1
100297784745927,0,9.982648958613972,77234176,77398016,21.617902277,sensor_live_rms_01,sensor_live,rms,1
100297884922369,0,0.0,77234176,77398016,21.718078719,sensor_live_rms_01,sensor_live,rms,1
100297985118847,0,9.980427582703948,77234176,77398016,21.818275197,sensor_live_rms_01,sensor_live,rms,1
100298085309029,0,0.0,77234176,77398016,21.918465379,sensor_live_rms_01,sensor_live,rms,1
100298185490100,0,0.0,77234176,77398016,22.01864645,sensor_live_rms_01,sensor_live,rms,1
100298285671004,0,9.981746679520764,77234176,77398016,22.118827354,sensor_live_rms_01,sensor_live,rms,1
100298385885279,0,9.978751147077949,77234176,77398016,22.219041629,sensor_live_rms_01,sensor_live,rms,1
100298486059313,0,0.0,77234176,77398016,22.319215663,sensor_live_rms_01,sensor_live,rms,1
100298586243440,0,0.0,77234176,77398016,22.41939979,sensor_live_rms_01,sensor_live,rms,1
100298686408177,0,0.0,77234176,77398016,22.519564527,sensor_live_rms_01,sensor_live,rms,1
100298786593674,0,9.981521608960163,77234176,77398016,22.619750024,sensor_live_rms_01,sensor_live,rms,1
100298886776949,0,0.0,77234176,77398016,22.719933299,sensor_live_rms_01,sensor_live,rms,1
100298986970483,0,0.0,77234176,77398016,22.820126833,sensor_live_rms_01,sensor_live,rms,1
100299087150684,0,9.981958806401073,77234176,77398016,22.920307034,sensor_live_rms_01,sensor_live,rms,1
100299187343551,0,0.0,77234176,77398016,23.020499901,sensor_live_rms_01,sensor_live,rms,1
100299287516511,0,9.982580696354045,77234176,77398016,23.120672861,sensor_live_rms_01,sensor_live,rms,1
100299387719083,0,9.97990366786004,77234176,77398016,23.220875433,sensor_live_rms_01,sensor_live,rms,1
100299487893154,0,0.0,77234176,77398016,23.321049504,sensor_live_rms_01,sensor_live,rms,1
100299588087669,0,0.0,77234176,77398016,23.421244019,sensor_live_rms_01,sensor_live,rms,1
100299688250796,0,9.983664030666338,77234176,77398016,23.521407146,sensor_live_rms_01,sensor_live,rms,1
100299788432738,0,0.0,77234176,77398016,23.621589088,sensor_live_rms_01,sensor_live,rms,1
100299888611254,0,9.98212670132391,77234176,77398016,23.721767604,sensor_live_rms_01,sensor_live,rms,1
100299988817121,0,0.0,77234176,77398016,23.821973471,sensor_live_rms_01,sensor_live,rms,1
100300088985859,0,0.0,77234176,77398016,23.922142209,sensor_live_rms_01,sensor_live,rms,1
100300189183708,0,9.980296598835826,77234176,77398016,24.022340058,sensor_live_rms_01,sensor_live,rms,1
100300289381094,0,0.0,77234176,77398016,24.122537444,sensor_live_rms_01,sensor_live,rms,1
100300389580684,0,0.0,77234176,77398016,24.222737034,sensor_live_rms_01,sensor_live,rms,1
100300489749107,0,9.983178543804508,77234176,77398016,24.322905457,sensor_live_rms_01,sensor_live,rms,1
100300589931346,0,9.981862855724417,77234176,77398016,24.423087696,sensor_live_rms_01,sensor_live,rms,1
100300690094843,0,0.0,77234176,77398016,24.523251193,sensor_live_rms_01,sensor_live,rms,1
100300790277581,0,0.0,77234176,77398016,24.623433931,sensor_live_rms_01,sensor_live,rms,1
100300890456245,0,0.0,77234176,77398016,24.723612595,sensor_live_rms_01,sensor_live,rms,1
100300990642206,0,9.981456948920762,77234176,77398016,24.823798556,sensor_live_rms_01,sensor_live,rms,1
100301090825610,0,0.0,77234176,77398016,24.92398196,sensor_live_rms_01,sensor_live,rms,1
100301191032089,0,9.979435279218679,77234176,77398016,25.024188439,sensor_live_rms_01,sensor_live,rms,1
100301291253494,0,0.0,77234176,77398016,25.124409844,sensor_live_rms_01,sensor_live,rms,1
100301391461102,0,0.0,77234176,77398016,25.224617452,sensor_live_rms_01,sensor_live,rms,1
100301491658193,0,9.980348194178259,77234176,77398016,25.324814543,sensor_live_rms_01,sensor_live,rms,1
100301591847134,0,0.0,77234176,77398016,25.425003484,sensor_live_rms_01,sensor_live,rms,1
100301692035873,0,0.0,77234176,77398016,25.525192223,sensor_live_rms_01,sensor_live,rms,1
