recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,32,160,165,162.5,1036,160.001761077,164.998098028,True,[],"[-0.6282990347490348, -0.7121829150579149, 0.08903368725868727]","[0.009793686359312506, 0.007052960685896406, 0.010429355765995262]",0.01595092500875992,15.95092500875992
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,33,165,170,167.5,1035,165.00178095,169.994445329,True,[],"[-0.6282692753623189, -0.7117405797101448, 0.08908202898550725]","[0.009871310254549126, 0.007195069141696364, 0.010543154737802473]",0.016135981467534123,16.135981467534123
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,34,170,175,172.5,1037,170.000050379,174.99991447,True,[],"[-0.6282723240115717, -0.711849662487946, 0.08929006750241081]","[0.00984602949012821, 0.00742088145465232, 0.010804863707827142]",0.01639386647588656,16.393866475886558
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,35,175,180,177.5,1035,175.005518909,179.997595653,True,[],"[-0.6285744927536233, -0.7117292753623189, 0.08967362318840578]","[0.009879734130118653, 0.007416314628122654, 0.0109687104352169]",0.016520395811141255,16.520395811141256
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,36,180,185,182.5,1036,180.003196203,184.998931625,True,[],"[-0.6280882239382239, -0.7119419884169883, 0.08964353281853282]","[0.009732356391864639, 0.0073867121844308214, 0.010925741215584723]",0.016390671094980033,16.390671094980032
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,37,185,190,187.5,1035,185.004576342,189.996658835,True,[],"[-0.6284275362318841, -0.7117066666666666, 0.0895455072463768]","[0.009635006886243642, 0.007215340876310189, 0.010882912485313428]",0.016227516317117233,16.22751631711723
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,38,190,195,192.5,1036,190.000347665,194.996836443,True,[],"[-0.6287620656370657, -0.7124313706563706, 0.08977905405405405]","[0.00992859347138435, 0.007427234557977566, 0.011216026156109383]",0.016719450476429,16.719450476429
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,39,195,200,197.5,1036,195.002451975,199.999221839,True,[],"[-0.6283893822393821, -0.7122883204633204, 0.0890826254826255]","[0.009916243022442912, 0.00768362023782275, 0.010629634908151176]",0.016442598149921838,16.44259814992184
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,40,200,205,202.5,1035,200.004819797,204.995749491,True,[],"[-0.6279376811594203, -0.7119817391304347, 0.08919507246376812]","[0.01039003565921647, 0.007567718427162619, 0.010786118510890784]",0.01677985565264455,16.77985565264455
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,41,205,210,207.5,1036,205.00133843,209.998363202,True,[],"[-0.6282802123552124, -0.7118817567567567, 0.089613416988417]","[0.01042400076011111, 0.006877572891865103, 0.010557882538226378]",0.016353277482532368,16.353277482532366
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,42,210,215,212.5,1036,210.003960864,214.999873496,True,[],"[-0.6279150579150579, -0.7120172779922779, 0.08982422779922779]","[0.010368098956023553, 0.007769952564909535, 0.010702525677188882]",0.01680516868983255,16.805168689832552
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,43,215,220,217.5,1035,215.005470621,219.995563005,True,[],"[-0.6277568115942029, -0.7120495652173913, 0.0891423188405797]","[0.009926154369074965, 0.007129307227921553, 0.010852799297600264]",0.016344381747340375,16.344381747340375
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,44,220,225,222.5,1036,220.001206019,224.996767831,True,[],"[-0.6283216216216216, -0.7121113899613899, 0.08905250965250965]","[0.009816698192035301, 0.007473274493737062, 0.010455144282323055]",0.016171809948686715,16.171809948686715
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,45,225,230,227.5,1036,225.002377753,229.99910568,True,[],"[-0.6283065637065638, -0.7123410231660232, 0.08986563706563706]","[0.009657513297705686, 0.00752720590145248, 0.010760110477588052]",0.01630050211705527,16.30050211705527
