name,phase,pwm_percent,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
POST_1,standstill_after,0.0,10,15,1034,206.68640070271294,-0.15350686653771797,0.01471740812379095,-1.0921659574468106,0.006647931372643635,0.005878275798022152,0.009252744989856686,0.006647931372643635,0.005878275798022152,0.009252744989856686,-0.1833,-0.0039,-1.1193,-0.12869999999999998,0.046799999999999994,-1.0569,0.012820390311543185,0.009010930011880643,1.1029992922852758
POST_1,standstill_after,0.0,15,20,1033,206.75470862622475,-0.15373475314617638,0.014478702807357092,-1.092022652468541,0.006549708828098208,0.005911790396645013,0.009320499112698393,0.006549708828098208,0.005911790396645013,0.009320499112698393,-0.1755,-0.0039,-1.1193,-0.1326,0.039,-1.0608,0.012834315530504292,0.009102776149347304,1.1028859780885454
POST_1,standstill_after,0.0,20,25,1034,206.73140778570206,-0.15397833655705997,0.014717408123790939,-1.092675145067699,0.006565220679569682,0.005710728870289101,0.009943837026262758,0.006565220679569682,0.005710728870289101,0.009943837026262758,-0.1755,-0.0078,-1.131,-0.12869999999999998,0.0351,-1.0569,0.013213418997605263,0.009704889813756343,1.1035691654261996
POST_1,standstill_after,0.0,25,30,1032,206.74758984709018,-0.1540386627906979,0.014368023255813805,-1.0921322674418639,0.0066071877230195345,0.0057803265619037385,0.009381620426954574,0.0066071877230195345,0.0057803265619037385,0.009381620426954574,-0.1755,-0.0039,-1.131,-0.12869999999999998,0.0351,-1.0608,0.012848420393376024,0.009133218731868746,1.1030354660274224
POST_2,standstill_after,0.0,0,5,1034,206.72066988351378,-0.1537105415860738,0.014411895551257117,-1.0920264023210864,0.006572515828065126,0.005940498295981958,0.009353013830543896,0.006572515828065126,0.005940498295981958,0.009353013830543896,-0.1755,-0.011699999999999999,-1.1232,-0.12869999999999998,0.039,-1.0295999999999998,0.01288279286603167,0.00916371152539418,1.1028854413285178
POST_2,standstill_after,0.0,5,10,1033,206.72409753352773,-0.1536328170377545,0.014675024201355129,-1.0923473378509216,0.005867817745491753,0.005577674313695288,0.008771848130881992,0.005867817745491753,0.005577674313695288,0.008771848130881992,-0.1716,-0.0039,-1.1232,-0.1326,0.0351,-1.0647,0.011936794187520456,0.008558394246515656,1.1031958599071436
POST_2,standstill_after,0.0,10,15,1034,206.7361126998099,-0.15335599613152817,0.014826789168278377,-1.092569535783368,0.006767787497062893,0.005884918923404732,0.008965972120789168,0.006767787497062893,0.005884918923404732,0.008965972120789168,-0.1755,-0.0078,-1.131,-0.12869999999999998,0.039,-1.0608,0.012681635320857369,0.008753562465683304,1.103379393385801
POST_2,standstill_after,0.0,15,20,1034,206.74322658014276,-0.15307311411992292,0.014619342359767752,-1.0928599613152836,0.006492530492635996,0.005686953846738738,0.008946901303721971,0.006492530492635996,0.005686953846738738,0.008946901303721971,-0.1755,-0.0078,-1.1154,-0.1248,0.0351,-1.0647,0.012431469711634535,0.008709973437284291,1.1036249356024204
POST_2,standstill_after,0.0,20,25,1033,206.72440438016253,-0.15313823814133615,0.014410745401742349,-1.0921774443368848,0.006610451081279081,0.005739077401058029,0.00939202172455894,0.006610451081279081,0.005739077401058029,0.00939202172455894,-0.1755,-0.0039,-1.131,-0.1326,0.039,-1.0569,0.01283920344055291,0.009151513283498782,1.1029553751092178
POST_2,standstill_after,0.0,25,30,1032,206.71799336897357,-0.15324127906976776,0.014662790697674262,-1.0929561046511644,0.006573231002014224,0.00559555568060912,0.00918408114370535,0.006573231002014224,0.00559555568060912,0.00918408114370535,-0.1755,0.0,-1.1193,-0.12869999999999998,0.039,-1.0569,0.012604164218019456,0.008948297603650126,1.1037440526391205
