window,window_start_ns,window_complete_ns,elapsed_s,method,input_sha256,dispatch_ns,worker_start_ns,decision_ns,processing_ms,dispatch_to_decision_ms,score,threshold,prediction,error,window_to_decision_ms
32,10155962659411,10156569900957,19.766227803,rms,02311359338473a8b5c891b7b586548ac75e46c2bdfd97cd2d22d3db5ca0b802,10156570887438,10156571099401,10156571403660,0.304259,0.516222,0.5278070152219908,1.296361072562011,0,,1.502703
33,10156577664825,10157188085815,20.387118883,tflite_autoencoder,066e031097a873761ae72c4907764d84089362e57630d65197faf968dd07d667,10157189035278,10157191468221,10157192294740,0.826519,3.259462,0.2643371018774076,0.47720259914362284,0,,4.208925
33,10156577664825,10157188085815,20.410077599,isolation_forest,066e031097a873761ae72c4907764d84089362e57630d65197faf968dd07d667,10157189035278,10157189628018,10157215253456,25.625438,26.218178,0.3783346664011325,0.4833547401595273,0,,27.167641
33,10156577664825,10157188085815,20.384397476,rms,066e031097a873761ae72c4907764d84089362e57630d65197faf968dd07d667,10157189035278,10157189270889,10157189573333,0.302444,0.538055,0.5573020297075416,1.296361072562011,0,,1.487518
34,10157193513628,10157804935007,21.004391611,tflite_autoencoder,61d11bbf9d3547cbaf3eea4cea5c7f7fbfc5c67a2f37df36a15fd6f66e6e329e,10157805743636,10157806309173,10157809567468,3.258295,3.823832,0.27029641859678205,0.47720259914362284,0,,4.632461
34,10157193513628,10157804935007,21.027932864,isolation_forest,61d11bbf9d3547cbaf3eea4cea5c7f7fbfc5c67a2f37df36a15fd6f66e6e329e,10157805743636,10157806446932,10157833108721,26.661789,27.365085,0.38719770884690413,0.4833547401595273,0,,28.173714
34,10157193513628,10157804935007,21.001087371,rms,61d11bbf9d3547cbaf3eea4cea5c7f7fbfc5c67a2f37df36a15fd6f66e6e329e,10157805743636,10157805980766,10157806263228,0.282462,0.519592,0.5246394237190422,1.296361072562011,0,,1.328221
35,10157811812042,10158423081531,21.621235173,tflite_autoencoder,266554abbf4e1e298a84ecc8a3c7974cdc3b656363108212df3dfb83f1e9945a,10158423772939,10158424339272,10158426411030,2.071758,2.638091,0.21948775784785124,0.47720259914362284,0,,3.329499
35,10157811812042,10158423081531,21.647598556,isolation_forest,266554abbf4e1e298a84ecc8a3c7974cdc3b656363108212df3dfb83f1e9945a,10158423772939,10158424477087,10158452774413,28.297326,29.001474,0.3797182241810401,0.4833547401595273,0,,29.692882
35,10157811812042,10158423081531,21.619116211,rms,266554abbf4e1e298a84ecc8a3c7974cdc3b656363108212df3dfb83f1e9945a,10158423772939,10158423999827,10158424292068,0.292241,0.519129,0.5238787682418715,1.296361072562011,0,,1.210537
